LOK001,Park KuŸniczki,345,3861792,1007216
LOK002,Plac Wybickiego,112,466160,112528
LOK003,Stacja SKM Wrzeszcz - Plac Ko³odziejskiego,801,725232,107136
LOK004,Park Grodzisko,227,491160,193240
LOK005,Stacja SKM Oliwa,1139,1068840,209424
LOK006,Plac Dwóch Miast,41,676704,141720
LOK007,Dworzec PKS,1419,1214248,229776
LOK008,Stacja PKP Gdañsk G³ówny,792,2919584,913168
LOK009,Park im. Reagana lok. III,142,1869496,546840
LOK010,Przystañ ¯abi Kruk,91,5150288,737224
LOK011,Przystañ Sienna Grobla,29,108288,12824
LOK012,Przystañ Tamka,21,2526944,343648
LOK013,Przystañ Nadwiœlañska,7,155400,32976
LOK014,Nowy Port CAE £aŸnia 2,145,577232,98736
LOK015,Skwer ul. Marynarki Polskiej,170,6726424,1230768
LOK016,Reduta Wilk,10,10120,3064
LOK017,Zieleniec przy ul. Ja³mu¿niczej,137,11105920,2287464
LOK018,Park de Gaulle'a,435,9012008,1623608
LOK019,Park ks. Kanonika Orkusza,72,1048040,211704
LOK020,BrzeŸno Molo,568,5877160,1741968
LOK021,Targ Wêglowy,876,20321960,3432592
LOK022,Plac Zebrañ Ludowych,47,2086464,448288
LOK023,Pla¿a Jelitkowo,550,1715040,1132520
LOK024,Pla¿a BrzeŸno I,11,362056,222432
LOK025,Park BrzeŸnieñski im. Haffnera,93,724040,280800
LOK026,Pla¿a Stogi,205,314024,120072
LOK027,Pla¿a Wyspa Sobieszewska,276,162148,51234
LOK028,Park Oliwski,344,8497128,1169016
LOK029,Park im. Reagana lok. I,141,934872,309928
LOK030,Park im. Jana Paw³a II,30,942320,251816
LOK031,Park Millenium Gdañska,16,2260496,472976
LOK032,Park Akademicki,695,262696,92736
LOK033,Park im. Steffena,375,1894360,763344
LOK034,Park Op³ywu Mot³awy,11,10008,3032
LOK035,Park Oruñski,61,97320,19968
LOK036,Akademia Wychowania Fizycznego i Sportu,118,15190848,3943888
LOK037,Piwna,460,204344,113664
LOK038,UMG Medyk,101,10081568,1686472
LOK039,ZOO Oliwa,113,895144,381504
LOK040,Twierdza Wis³oujœcie,42,1897832,371432
LOK041,Pomnik Poleg³ych Stoczniowców,138,343736,142196
LOK042,Góra Gradowa,172,1247152,487696
LOK043,Skwer przed Krewetk¹,858,7426408,2088024
LOK044,Zieleniec Heweliusza,310,10765585,3092138
LOK045,Skwer Czes³awa Niemena,418,11662717,3349817
LOK046,Park Hucisko,712,493840,160384
LOK047,Targ Drzewny,317,1329808,415640
LOK048,Brama Wy¿ynna,1070,10373576,2151264
LOK049,Dom Harcerza,25,155696,71432
LOK050,D³uga i D³ugi Targ,2631,2551040,998928
LOK051,Szeroka I,236,11824888,3084584
LOK052,Park im. Reagana lok. II,77,551672,294680
LOK053,Grobla,259,11824880,3084584
LOK054,Bazylika Mariacka,254,10179288,1751608
LOK055,Szeroka II,291,11824968,3084576
LOK056,Mariacka,504,3025432,1368552
LOK057,Œw. Ducha,296,18293296,3178368
LOK058,St¹giewna,251,709544,355456
LOK059,D³ugie Pobrze¿e,267,709544,355456
LOK060,Rybackie Pobrze¿e,652,11020392,1912472
LOK061,Skwer przy Polskiej Filharmonii Ba³tyckiej,188,13211696,1417264
LOK062,Skwer przy Muzeum Narodowym,110,59016,21960
LOK063,Deptak - ¯abianka,96,1222560,288328
LOK064,Westerplatte,256,161136,74552
LOK065,Skwer przy Stadionie Energa,98,55184,15488
LOK066,Skwer przy ul. Goœcinnej,323,6506488,1353296
LOK067,Skwer przy ul. Wodopój,207,7321384,423320
LOK068,D³ugie Pobrze¿e - Brama Œw. Ducha,284,709544,355456
LOK069,Marina Szafarnia,39,19529640,1453200
LOK070,Park Przymorze,38,332744,90648
LOK071,Pla¿a BrzeŸno II,171,1517000,495432
LOK072,Stacja SKM - Gdañsk Politechnika,583,448936,97296
LOK073,Zieleniec przy al. Hallera,93,896584,250432
LOK074,Zieleniec przy ul. Bohomolca,56,630056,115736
LOK075,Zieleniec przy ul. Buczka,79,1532600,351520
LOK076,Zieleniec przy ul. Pomorskiej,157,1891136,424416
LOK077,Zieleniec przy ul. Wilanowskiej,53,1654328,327368
LOK078,Zieleniec Piecki-Migowo,35,798664,295968
LOK079,Skwer przy al. ¯o³nierzy Wyklêtych,161,1500304,683368
LOK080,Skwer przy ul. Siennickiej,22,2226328,359328
LOK081,Skwer przy ul. ¯eromskiego,23,24112,12632
LOK082,Latarnia Morska w Nowym Porcie,80,70352,20600
LOK083,Aktiv Park Przymorze,40,922124,42130
LOK084,Skatepark Osowa,104,1583440,622824
LOK085,Plac Biskupa O'Rourke.,52,20773912,4166552
LOK086,Plac gen. Maczka,147,12583688,1389992
LOK087,Plac Pi³sudzkiego,178,427160,168952
LOK088,Park w Jasieniu,76,21872616,3534488
LOK089,Park przy ul. Chirona,64,587424,151552
LOK090,Park przy ul. BliŸni¹t,26,4668328,562208
LOK091,Park nad Strzy¿¹,81,2215568,643224
LOK092,Park Zielony,523,516528,103880
LOK093,Park Siennicki,190,5039720,1372360
LOK094,Park Bema,53,2251176,483776
LOK095,Park w Królewskiej Dolinie,42,1769880,414136
LOK096,Park Uphagena,119,779384,179264
LOK097,Park Jaœkowej Doliny,46,1715256,354288
LOK098,Wzgórze Pacho³ek,37,309272,116936
LOK099,Stacja Strzy¿a,341,24927088,3166144
LOK100,Stacja SKM ¯abianka-AWFiS,870,13801488,3093456
LOK101,"Zespó³ Obs³ugi Mieszkañców Nr 1, 
ul. Partyzantów 74",106,2 278 344,511456
LOK102,"Zespó³ Obs³ugi Mieszkañców Nr 2, 
ul. Milskiego 1",76,1 682 616,237088
LOK103,"Zespó³ Obs³ugi Mieszkañców Nr 3, 
ul. Nowe Ogrody 8/12",324,12 351 656,2207928
LOK104,"Zespó³ Obs³ugi Mieszkañców Nr 4, 
ul. Wilanowska 2",80,39 033 680,13046912
